File Name,Entropy Threshold,Prob Threshold,# Progressions,Keymode,Triad Mode,beatMode,formMode,# Abstract Forms,Max Entropy,Average Entropy,Entropy STD
ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_0.6_0.25.csv,0.6,0.25,403,False,0,True,True,85,3.422775066261337,1.1023754711728546,0.435207517679
ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_0.7_0.25.csv,0.7,0.25,372,False,0,True,True,83,3.422775066261337,1.1895821577633408,0.428346750919
ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_0.8_0.25.csv,0.8,0.25,344,False,0,True,True,79,3.422775066261337,1.262773441448745,0.430463066109
ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_0.9_0.25.csv,0.9,0.25,310,False,0,True,True,75,3.422775066261337,1.3494337553639977,0.425684484033
ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_1.0_0.25.csv,1.0,0.25,247,False,0,True,True,49,3.4829175854050423,1.499937295264131,0.441766500158
ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_1.1_0.25.csv,1.1,0.25,226,False,0,True,True,47,3.4829175854050423,1.5838025481443851,0.445789258339
ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_1.2_0.25.csv,1.2,0.25,204,False,0,True,True,46,3.4829175854050423,1.674660121628999,0.444495926937
ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_1.3_0.25.csv,1.3,0.25,172,False,0,True,True,38,3.4829175854050423,1.7843226700481911,0.441568157472
ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_1.4_0.25.csv,1.4,0.25,154,False,0,True,True,39,3.4829175854050423,1.8678872880986208,0.433209027426
ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_1.5_0.25.csv,1.5,0.25,136,False,0,True,True,36,3.4829175854050423,1.9608151684630202,0.426351029881
ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_0.5_0.25.csv,0.5,0.25,720,False,1,False,False,172,3.0264722271084428,0.8971864895597856,0.337465622228
ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_0.6_0.25.csv,0.6,0.25,649,False,1,False,False,175,3.0264722271084428,0.9759363959533384,0.33306822046
ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_0.7_0.25.csv,0.7,0.25,567,False,1,False,False,166,3.0264722271084428,1.067415024324762,0.338412964915
ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_0.8_0.25.csv,0.8,0.25,489,False,1,False,False,163,3.4710522331382045,1.1603860058400994,0.358469594351
ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_0.9_0.25.csv,0.9,0.25,419,False,1,False,False,153,3.4710522331382045,1.2550169977085843,0.363317744342
ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.0_0.25.csv,1.0,0.25,337,False,1,False,False,129,3.4710522331382045,1.3707509128737476,0.360907569917
ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv,1.1,0.25,297,False,1,False,False,125,3.4710522331382045,1.4704746105566262,0.36144993431
ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.2_0.25.csv,1.2,0.25,245,False,1,False,False,107,3.4710522331382045,1.5813962479376495,0.364398465691
ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.3_0.25.csv,1.3,0.25,208,False,1,False,False,98,3.4710522331382045,1.6777899977872894,0.355022834568
